plot_id,size,status,owner,customer_number,booking_date,registry_date,coords,color
1,,Vacant,,,,,"210,1378,314,1378,311,1409,210,1411",
2,,Vacant,,,,,"311,1378,210,1378,210,1347,311,1347",
3,,Vacant,,,,,"311,1345,211,1345,211,1310,311,1310",
4,,Vacant,,,,,"311,1311,211,1311,211,1275,311,1275",
5,,Vacant,,,,,"311,1273,212,1273,212,1239,311,1239",
6,,Vacant,,,,,"311,1239,213,1239,213,1204,311,1204",
7,,Vacant,,,,,"311,1204,213,1204,213,1169,311,1169",
8,,Vacant,,,,,"311,1168,214,1168,214,1133,311,1133",
9,,Vacant,,,,,"311,1133,214,1133,214,1097,311,1097",
10,,Vacant,,,,,"311,1097,214,1097,214,1062,311,1062",
11,,Vacant,,,,,"311,1061,213,1061,213,1026,311,1026",
12,,Vacant,,,,,"311,1025,213,1025,213,991,311,991",
13,,Vacant,,,,,"311,990,212,990,212,955,311,955",
14,,Vacant,,,,,"310,954,210,954,210,911,310,911",
15,,Vacant,,,,,"310,857,209,857,209,814,310,814",
16,,Vacant,,,,,"311,812,208,812,208,777,311,777",
17,,Vacant,,,,,"311,777,206,777,206,742,311,742",
18,,Vacant,,,,,"311,741,205,741,205,707,311,707",
19,,Vacant,,,,,"311,706,202,706,202,671,311,671",
20,,Vacant,,,,,"311,670,201,670,201,636,311,636",
21,,Vacant,,,,,"311,634,200,634,200,599,311,599",
22,,Vacant,,,2026-03-17,,"311,599,202,599,202,564,311,564",
23,,Vacant,,,,,"311,563,204,563,204,528,311,528",
24,,Vacant,,,,,"311,528,206,528,206,493,311,493",
25,,Vacant,,,,,"311,492,208,492,208,457,311,457",
26,,Vacant,,,,,"311,456,209,456,209,421,311,421",
27,,Vacant,,,,,"311,421,211,421,211,386,311,386",
28,,Vacant,,,,,"215,356,311,353,311,386,210,386",
29,,Vacant,,,,,"311,353,384,351,381,386,314,386",
30,,Vacant,,,,,"383,420,313,420,313,386,383,386",
31,,Vacant,,,,,"383,456,313,456,313,422,383,422",
32,,Vacant,,,,,"383,492,313,492,313,457,383,457",
33,,Vacant,,,,,"383,527,313,527,313,493,383,493",
34,,Vacant,,,,,"383,563,313,563,313,529,383,529",
35,,Vacant,,,,,"383,598,313,598,313,564,383,564",
36,,Vacant,,,,,"383,634,313,634,313,600,383,600",
37,,Vacant,,,,,"383,670,313,670,313,636,383,636",
38,,Vacant,,,,,"383,705,313,705,313,671,383,671",
39,,Vacant,,,,,"383,741,313,741,313,707,383,707",
40,,Vacant,,,,,"383,777,313,777,313,743,383,743",
41,,Vacant,,,,,"383,812,313,812,313,778,383,778",
42,,Vacant,,,,,"383,857,313,857,313,814,383,814",
43,,Vacant,,,,,"383,954,313,954,313,911,383,911",
44,,Vacant,,,,,"383,989,313,989,313,955,383,955",
45,,Vacant,,,,,"383,1025,313,1025,313,991,383,991",
46,,Vacant,,,,,"383,1061,313,1061,313,1026,383,1026",
47,,Vacant,,,,,"383,1096,313,1096,313,1062,383,1062",
48,,Vacant,,,,,"383,1132,313,1132,313,1098,383,1098",
49,,Vacant,,,,,"383,1168,313,1168,313,1134,383,1134",
50,,Vacant,,,,,"383,1203,313,1203,313,1169,383,1169",
51,,Vacant,,,,,"383,1239,313,1239,313,1205,383,1205",
52,,Vacant,,,,,"383,1274,313,1274,313,1240,383,1240",
53,,Vacant,,,,,"383,1310,313,1310,313,1276,383,1276",
54,,Vacant,,,,,"383,1346,313,1346,313,1312,383,1312",
55,,Vacant,,,,,"383,1378,313,1378,313,1347,383,1347",
56,,Vacant,,,,,"316,1377,384,1377,384,1404,311,1408",
57,,Vacant,,,,,"497,1369,428,1369,428,1329,497,1329",
58,,Vacant,,,,,"497,1328,428,1328,428,1302,497,1302",
59,,Vacant,,,,,"497,1301,428,1301,428,1276,497,1276",
