plot_id,size,status,owner,customer_number,booking_date,registry_date,coords,color
1,,Vacant,,,,,"240,1563,279,1563,280,1620,247,1620",
2,,Vacant,,,,,"236,1524,280,1521,280,1563,241,1563",
3,,Vacant,,,,,"231,1481,280,1483,280,1522,236,1522",
4,,Vacant,,,,,"228,1442,280,1442,280,1481,231,1481",
5,,Vacant,,,,,"226,1360,282,1360,280,1401,226,1401",
6,,Vacant,,,,,"226,1318,282,1321,280,1359,226,1359",
7,,Vacant,,,,,"226,1278,282,1278,282,1319,226,1317",
8,,Vacant,,,,,"228,1235,282,1238,282,1279,228,1282",
9,,Vacant,,,,,"231,1031,258,1019,258,1068,228,1065",
10,,Vacant,,,,,"258,1016,287,1004,284,1067,260,1067",
11,,Vacant,,,,,"381,1062,324,1061,325,1030,382,1032",
12,,Vacant,,,,,"382,1094,325,1094,325,1063,382,1063",
13,,Vacant,,,,,"380,1125,323,1124,324,1093,381,1095",
14,,Vacant,,,,,"380,1156,323,1156,323,1125,380,1125",
15,,Vacant,,,,,"381,1188,323,1188,323,1158,381,1158",
16,,Vacant,,,,,"384,1214,322,1212,323,1188,385,1189",
17,,Vacant,,,,,"384,1237,322,1236,323,1213,385,1215",
18,,Vacant,,,,,"384,1261,322,1259,323,1237,385,1238",
19,,Vacant,,,,,"384,1292,322,1292,322,1262,384,1262",
20,,Vacant,,,,,"383,1324,321,1322,322,1292,384,1293",
21,,Vacant,,,,,"383,1363,321,1363,321,1325,383,1325",
22,,Vacant,,,,,"383,1403,321,1403,321,1364,383,1364",
23,,Vacant,,,,,"382,1482,320,1482,320,1443,382,1443",
24,,Vacant,,,,,"382,1521,320,1521,320,1483,382,1483",
25,,Vacant,,,,,"380,1561,318,1559,319,1521,381,1523",
26,,Vacant,,,,,"381,1600,319,1600,319,1562,381,1562",
27,,Vacant,,,,,"379,1640,317,1638,318,1600,380,1601",
28,,Vacant,,,,,"380,1679,318,1679,318,1641,380,1641",
29,,Vacant,,,,,"442,1680,380,1679,381,1640,443,1642",
30,,Vacant,,,,,"442,1641,380,1639,381,1601,443,1602",
31,,Vacant,,,,,"444,1601,382,1601,382,1562,444,1562",
32,,Vacant,,,,,"444,1561,382,1561,382,1523,444,1523",
33,,Vacant,,,,,"444,1522,383,1522,383,1484,444,1484",
34,,Vacant,,,,,"444,1483,382,1481,383,1442,445,1444",
35,,Vacant,,,,,"445,1404,383,1402,384,1364,446,1365",
36,,Vacant,,,,,"446,1364,385,1364,385,1325,446,1325",
37,,Vacant,,,,,"446,1325,384,1323,385,1293,447,1294",
38,,Vacant,,,,,"446,1293,384,1292,385,1261,447,1263",
39,,Vacant,,,,,"446,1262,385,1260,386,1238,447,1239",
40,,Vacant,,,,,"447,1238,385,1237,386,1214,448,1216",
41,,Vacant,,,,,"448,1214,386,1214,386,1186,448,1186",
42,,Vacant,,,,,"489,1182,552,1165,552,1209,489,1209",
43,,Vacant,,,,,"550,1231,488,1231,488,1208,550,1208",
44,,Vacant,,,,,"549,1263,487,1261,488,1231,550,1232",
45,,Vacant,,,,,"549,1294,487,1294,487,1263,549,1263",
46,,Vacant,,,,,"548,1326,486,1325,487,1294,549,1296",
47,,Vacant,,,,,"549,1365,486,1365,486,1327,549,1327",
48,,Vacant,,,,,"547,1405,485,1404,486,1365,548,1367",
49,,Vacant,,,,,"610,1406,548,1404,549,1365,611,1367",
50,,Vacant,,,,,"610,1366,549,1365,550,1326,611,1328",
51,,Vacant,,,,,"611,1327,549,1325,550,1295,612,1296",
52,,Vacant,,,,,"612,1295,550,1295,550,1264,612,1264",
53,,Vacant,,,,,"613,1264,551,1264,551,1233,613,1233",
54,,Vacant,,,,,"612,1232,550,1231,551,1200,613,1202",
55,,Vacant,,,,,"613,1200,552,1200,552,1170,613,1170",
56,,Vacant,,,,,"613,1169,550,1167,551,1137,614,1139",
57,,Vacant,,,,,"614,1137,553,1137,553,1106,614,1106",
58,,Vacant,,,,,"615,1106,553,1106,553,1074,615,1074",
59,,Vacant,,,,,"615,1074,553,1074,553,1043,615,1043",
60,,Vacant,,,,,"614,1043,553,1041,554,1011,615,1012",
61,,Vacant,,,,,"616,1011,554,1011,554,980,616,980",
62,,Vacant,,,,,"616,980,554,980,554,948,616,948",
63,,Vacant,,,,,"616,948,555,948,555,917,616,917",
64,,Vacant,,,,,"617,916,555,916,555,893,617,893",
65,,Vacant,,,,,"318,810,374,808,374,825,318,849",
66,,Vacant,,,,,"372,769,428,769,428,798,374,825",
67,,Vacant,,,,,"464,736,527,731,527,750,469,777",
68,,Vacant,,,,,"464,733,463,709,526,706,527,730",
69,,Vacant,,,,,"464,708,462,678,525,675,526,705",
70,,Vacant,,,,,"462,677,461,646,523,643,525,674",
71,,Vacant,,,,,"461,645,460,615,522,612,523,643",
72,,Vacant,,,,,"460,614,458,583,521,580,522,611",
73,,Vacant,,,,,"459,552,520,550,520,579,459,584",
74,,Vacant,,,,,"522,580,520,549,582,546,584,577",
75,,Vacant,,,,,"523,611,522,580,584,578,585,608",
76,,Vacant,,,,,"524,643,523,612,585,609,586,640",
77,,Vacant,,,,,"525,674,524,644,586,641,588,672",
78,,Vacant,,,,,"527,706,525,675,587,672,589,703",
79,,Vacant,,,,,"527,707,588,705,591,722,527,749",
80,,Vacant,,,,,"625,655,690,653,693,672,630,701",
81,,Vacant,,,,,"627,653,625,623,687,620,689,651",
82,,Vacant,,,,,"625,622,624,591,687,589,688,619",
83,,Vacant,,,,,"624,590,623,560,685,557,686,588",
84,,Vacant,,,,,"623,559,621,528,683,525,685,556",
85,,Vacant,,,,,"622,527,620,497,682,494,684,524",
86,,Vacant,,,,,"620,496,619,465,681,462,683,493",
87,,Vacant,,,,,"619,464,618,434,680,431,681,462",
88,,Vacant,,,,,"618,433,616,402,679,399,680,430",
89,,Vacant,,,,,"616,401,615,370,677,368,679,398",
90,,Vacant,,,,,"615,370,614,339,676,336,678,367",
91,,Vacant,,,,,"622,307,678,305,676,336,615,341",
92,,Vacant,,,,,"673,241,671,210,734,208,735,238",
93,,Vacant,,,,,"675,273,673,242,735,239,737,270",
94,,Vacant,,,,,"676,304,674,273,737,271,738,301",
95,,Vacant,,,,,"677,336,676,305,738,302,739,333",
96,,Vacant,,,,,"678,367,677,336,739,334,740,364",
97,,Vacant,,,,,"680,399,678,368,740,365,742,396",
98,,Vacant,,,,,"681,430,679,399,742,397,743,428",
99,,Vacant,,,,,"682,462,681,431,743,428,744,459",
100,,Vacant,,,,,"683,493,682,463,744,460,746,491",
101,,Vacant,,,,,"685,525,683,494,745,491,747,522",
102,,Vacant,,,,,"686,556,684,526,747,523,748,554",
103,,Vacant,,,,,"687,588,686,557,748,555,749,585",
104,,Vacant,,,,,"688,619,687,589,750,586,751,617",
105,,Vacant,,,,,"685,622,751,618,754,642,690,671",
106,,Vacant,,,,,"695,807,737,788,737,856,695,856",
107,,Vacant,,,,,"656,827,698,810,695,853,656,856",
108,,Vacant,,,,,"734,886,656,885,657,854,735,856",
109,,Vacant,,,,,"734,918,656,916,657,886,735,887",
110,,Vacant,,,,,"733,950,656,948,657,917,734,919",
111,,Vacant,,,,,"733,981,655,980,656,949,734,951",
112,,Vacant,,,,,"734,1013,656,1013,656,982,734,982",
113,,Vacant,,,,,"732,1044,654,1043,655,1012,733,1014",
114,,Vacant,,,,,"732,1076,654,1074,655,1044,733,1045",
115,,Vacant,,,,,"731,1107,654,1106,655,1075,732,1077",
116,,Vacant,,,,,"731,1139,653,1137,654,1107,732,1108",
117,,Vacant,,,,,"732,1170,654,1170,654,1140,732,1140",
118,,Vacant,,,,,"730,1202,653,1200,654,1170,731,1171",
119,,Vacant,,,,,"730,1233,652,1232,653,1201,731,1203",
120,,Vacant,,,,,"730,1265,652,1263,653,1233,731,1234",
121,,Vacant,,,,,"730,1296,652,1296,652,1266,730,1266",
122,,Vacant,,,,,"729,1328,651,1327,652,1296,730,1298",
123,,Vacant,,,,,"729,1368,652,1368,652,1329,729,1329",
124,,Vacant,,,,,"728,1407,650,1406,651,1367,729,1369",
125,,Vacant,,,,,"728,1486,650,1486,650,1447,728,1447",
126,,Vacant,,,,,"727,1526,649,1524,650,1486,728,1487",
127,,Vacant,,,,,"726,1557,648,1556,649,1525,727,1527",
128,,Vacant,,,,,"726,1589,648,1587,649,1557,727,1558",
129,,Vacant,,,,,"725,1620,647,1619,648,1588,726,1590",
130,,Vacant,,,,,"725,1652,647,1650,648,1620,726,1621",
131,,Vacant,,,,,"725,1683,648,1683,648,1652,725,1652",
132,,Vacant,,,,,"803,1684,726,1683,727,1652,804,1654",
133,,Vacant,,,,,"804,1653,726,1651,727,1621,805,1622",
134,,Vacant,,,,,"804,1621,726,1620,727,1589,805,1591",
135,,Vacant,,,,,"804,1590,727,1588,728,1558,805,1559",
136,,Vacant,,,,,"805,1558,727,1557,728,1526,806,1528",
137,,Vacant,,,,,"806,1526,729,1526,729,1488,806,1488",
138,,Vacant,,,,,"807,1487,729,1487,729,1448,807,1448",
139,,Vacant,,,,,"807,1408,729,1407,730,1368,808,1370",
140,,Vacant,,,,,"808,1368,730,1368,730,1330,808,1330",
141,,Vacant,,,,,"807,1329,730,1328,731,1297,808,1299",
142,,Vacant,,,,,"808,1296,730,1296,730,1266,808,1266",
143,,Vacant,,,,,"808,1266,731,1264,732,1234,809,1235",
